Unique_ID,Mothur_ID,Site,week,StoretID,date,month,year,cyano_chla,green_chla,brown_chla,PE_chla,tot_chla,Fit_error,led440,led480,led540,led590,led625,est440,est480,est540,est590,est625,check440,check480,check540,check590,check625,diff440,diff480,diff540,diff590,diff625
2018_5_21420001,5_21420001,Lower Pine Lake,5,21420001,06/19/18,June,2018,14,2,12,4,32,0,1014.666667,599.6666667,542.3333333,1396.333333,799.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1006.472169,610.5249841,546.3536223,1393.58984,803.3727408,-8.194497781,10.85831746,4.020288992,-2.743493327,4.039407492
2018_5_21170002,5_21170002,McIntosh Woods,5,21170002,06/19/18,June,2018,30.66666667,0,7.333333333,5,43,0.333333333,412.3333333,193.3333333,285,1196.333333,717.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,393.5453321,220.2669233,290.9463316,1191.049317,725.6352739,-18.78800118,26.93358995,5.946331648,-5.284016573,8.30194059
2018_5_21130002,5_21130002,North Twin Lake East,5,21130002,06/19/18,June,2018,93.66666667,0,23,69.66666667,186.3333333,11.66666667,542.6666667,341.3333333,661.6666667,1468.333333,825.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,591.2903334,373.5341567,482.7355102,1532.386492,755.794382,48.62366671,32.2008234,-178.9311564,64.05315896,-69.53895134
2018_5_21130001,5,North Twin Lake West,5,21130001,06/19/18,June,2018,89.33333333,0,29.33333333,62,180.6666667,9,567.3333333,353,624.6666667,1390.333333,784.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,609.012047,381.3446405,470.1011198,1445.604888,724.3764557,41.67871365,28.34464051,-154.5655469,55.27155509,-59.95687761
2018_5_21500001,5_21500001,Rock Creek,5,21500001,06/19/18,June,2018,17.66666667,4.333333333,19,0,41,0.666666667,1051,655.3333333,501.6666667,1155.666667,788,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1063.699448,636.2181239,496.297307,1178.478439,754.0989182,12.69944768,-19.1152094,-5.36935968,22.81177217,-33.90108182
2018_6_21350001,6_21350001,Beed’s Lake,6,21350001,06/26/18,June,2018,1,7,8,0,16,1,1293.666667,783,432.6666667,611.6666667,328,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1267.711147,817.3893967,445.4059453,602.9731021,340.7991287,-25.95551927,34.38939665,12.73927859,-8.693564534,12.7991287
2018_6_21810002,6_21810002,Black Hawk,6,21810002,06/26/18,June,2018,7.666666667,5.333333333,11.66666667,0,24.66666667,1,1092.333333,616.3333333,432,908.3333333,555.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1063.15322,654.6147076,446.4648424,901.6419879,565.1323166,-29.18011338,38.28137426,14.46484236,-6.691345406,9.798983274
2018_6_21940001,6_21940001,Brushy Creek,6,21940001,06/26/18,June,2018,0,2,7,2,11,0,1376.666667,901.6666667,615,719.3333333,297.3333333,Overestimate,Underestimate,Underestimate,Overestimate,Overestimate,1385.241029,884.8666275,613.8341312,719.3596157,309.2483592,8.574362185,-16.80003919,-1.165868814,0.026282409,11.9150259
2018_6_21170001,6_21170001,Clear Lake,6,21170001,06/26/18,June,2018,19.33333333,0,11.33333333,0,30.66666667,0,605.6666667,333.6666667,356.6666667,1102,724.6666667,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,605.9538149,342.1112717,342.363013,1106.459681,720.3622834,0.287148191,8.444605068,-14.30365363,4.45968143,-4.3043833
2018_6_21810001,6_21810001,Denison,6,21810001,06/26/18,June,2018,7.333333333,7.666666667,19.66666667,1.333333333,36,1,1196.333333,691.6666667,479.6666667,820.6666667,459.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1168.682146,728.303064,493.2370774,811.4056877,473.3013573,-27.6511876,36.63639733,13.57041069,-9.260978918,13.63469062
2018_6_21420001,6_21420001,Lower Pine Lake,6,21420001,06/26/18,June,2018,27.33333333,4.666666667,11,2,45,0,554,303.3333333,296,1091.333333,683.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,543.4942429,317.2529668,301.1556853,1087.815428,688.8463289,-10.5057571,13.91963344,5.155685261,-3.51790527,5.179662244
2018_6_21170002,6_21170002,McIntosh Woods,6,21170002,06/26/18,June,2018,52,0,18.33333333,12.33333333,82.66666667,0,604,329.3333333,413.3333333,1457.333333,854,Underestimate,Overestimate,Underestimate,Overestimate,Overestimate,593.7265334,345.3642611,413.0025329,1457.711539,855.0995003,-10.27346655,16.03092773,-0.330800457,0.378205451,1.099500283
2018_6_21130002,6_21130002,North Twin Lake East,6,21130002,06/26/18,June,2018,116,0,26.33333333,83,225.3333333,9,425,269.3333333,523.6666667,1193,672.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,464.172479,292.5807712,383.8403289,1243.270528,617.5815632,39.17247897,23.24743786,-139.8263378,50.27052805,-54.75177009
2018_6_21130001,6,North Twin Lake West,6,21130001,06/26/18,June,2018,110.6666667,0,28,78.33333333,217,9,490.3333333,311.6666667,584.6666667,1329,747.3333333,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,533.3729481,335.7840457,433.3197082,1383.516855,687.8419697,43.03961473,24.11737903,-151.3469584,54.5168547,-59.49136363
2018_6_21500001,6_21500001,Rock Creek,6,21500001,06/26/18,June,2018,0,0,0,0,0,32000,-1202.666667,-951.3333333,-1669,-3380,-1467,Overestimate,Overestimate,Overestimate,Overestimate,Overestimate,1557.464189,1007.847595,970.2910008,3396.563159,1475.236264,2760.130856,1959.180928,2639.291001,6776.563159,2942.236264
2018_7_21350001,7_21350001,Beed’s Lake,7,21350001,07/03/18,July,2018,1,3.666666667,22.66666667,0,27.33333333,0.333333333,1513.666667,890,596.6666667,570,352.3333333,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,1488.651723,920.5855479,609.90822,582.3386328,333.8132344,-25.01494347,30.58554787,13.24155328,12.33863284,-18.52009894
2018_7_21810002,7_21810002,Black Hawk,7,21810002,07/03/18,July,2018,8,12.33333333,19.33333333,2.666666667,42.33333333,1,1383.333333,805.6666667,535.3333333,979.6666667,523.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1346.63318,854.2921147,553.3457821,967.3742781,541.7641764,-36.70015349,48.62544806,18.01244878,-12.29238853,18.09750971
2018_7_21940001,7_21940001,Brushy Creek,7,21940001,07/03/18,July,2018,3,21.66666667,28.66666667,4.666666667,58,1,1309.666667,910.6666667,537.6666667,693.6666667,376.6666667,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1343.745194,865.5147479,520.9381164,705.0825431,359.8589473,34.07852731,-45.15191882,-16.72855029,11.4158764,-16.80771933
2018_7_21170001,7_21170001,Clear Lake,7,21170001,07/03/18,July,2018,25.66666667,0,14.33333333,0,40,0,783,413.6666667,448.6666667,1444.666667,946.3333333,Underestimate,Overestimate,Underestimate,Overestimate,Underestimate,773.4398573,435.1605069,439.2608111,1446.750598,944.6804974,-9.560142694,21.49384028,-9.405855613,2.083931027,-1.652835958
2018_7_21810001,7_21810001,Denison,7,21810001,07/03/18,July,2018,8.666666667,10.33333333,35.33333333,14.66666667,69,0.666666667,1522.333333,916.6666667,714,1147.333333,512.3333333,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1495.781177,951.847239,727.0303934,1138.440354,525.4264163,-26.55215584,35.18057234,13.03039339,-8.89297918,13.09308294
2018_7_21420001,7_21420001,Lower Pine Lake,7,21420001,07/03/18,July,2018,38.33333333,4,9.666666667,0,52,0,497.6666667,243,286.6666667,1364.333333,894.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,482.0401167,263.1668707,295.4051218,1360.017527,900.1510552,-15.62654996,20.16687065,8.738455099,-4.315806382,5.484388536
2018_7_21170002,7_21170002,McIntosh Woods,7,21170002,07/03/18,July,2018,28,3.333333333,15.33333333,0,46.66666667,1,645.3333333,324.3333333,308,1068.666667,709.3333333,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,618.5666274,358.0500602,321.7976928,1073.861225,701.4433537,-26.76670598,33.71672682,13.79769283,5.194558642,-7.889979679
2018_7_21130002,7_21130002,North Twin Lake East,7,21130002,07/03/18,July,2018,94.66666667,0,25.33333333,71,191,9.333333333,577.3333333,363.3333333,660,1503,830,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,620.8750636,392.2931851,499.5708656,1560.420061,767.6705857,43.54173028,28.95985175,-160.4291344,57.42006069,-62.32941434
2018_7_21130001,7,North Twin Lake West,7,21130001,07/03/18,July,2018,105.3333333,0,5.333333333,103.3333333,214,13,445.3333333,276,606,1368,757,Overestimate,Overestimate,Underestimate,Overestimate,Underestimate,488.9163866,313.0683996,432.4505934,1429.468826,690.8011466,43.58305327,37.06839955,-173.5494066,61.46882649,-66.19885345
2018_7_21500001,7_21500001,Rock Creek,7,21500001,07/03/18,July,2018,23.33333333,0,33.66666667,0,57,0.666666667,1068.333333,667.6666667,544.6666667,1054,613,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1078.144109,654.6683153,539.8482788,1057.287868,608.1593291,9.810775688,-12.99835132,-4.818387913,3.287867743,-4.840670881
2018_8_21350001,8_21350001,Beed’s Lake,8,21350001,07/10/18,July,2018,1.333333333,14,28.33333333,0,43.66666667,1.666666667,1157.666667,663.3333333,401.3333333,446.6666667,286.3333333,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,1121.013904,708.5662841,420.5815508,461.3678362,264.2296637,-36.65276277,45.23295077,19.24821747,14.70116958,-22.10366959
2018_8_21810002,8_21810002,Black Hawk,8,21810002,07/10/18,July,2018,32,37.66666667,15,0,84.66666667,2.333333333,1319.666667,638,427.6666667,1505.666667,1000.666667,Underestimate,Overestimate,Overestimate,Overestimate,Underestimate,1219.107108,764.9346458,479.4073713,1523.022419,974.2429542,-100.5595587,126.9346458,51.74070466,17.35575246,-26.42371247
2018_8_21940001,8_21940001,Brushy Creek,8,21940001,07/10/18,July,2018,0,63.33333333,3.333333333,9.666666667,76.33333333,4.333333333,1365.666667,1101.666667,449.6666667,893,468.6666667,Overestimate,Underestimate,Underestimate,Overestimate,Underestimate,1438.526439,1007.36071,410.8655136,920.085137,426.5535987,72.85977201,-94.30595699,-38.80115304,27.08513698,-42.11306797
2018_8_21170001,8_21170001,Clear Lake,8,21170001,07/10/18,July,2018,37.33333333,2,19.33333333,0,58.66666667,0,767,409,408.3333333,1408.333333,920,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,752.3413379,427.0134699,413.6374366,1406.876239,922.2059045,-14.65866214,18.01346987,5.304103303,-1.457094364,2.205904523
2018_8_21810001,8_21810001,Denison,8,21810001,07/10/18,July,2018,28,38.66666667,20.33333333,0,87,3,1495.333333,479.3333333,479.3333333,1460.666667,933.6666667,Underestimate,Overestimate,Overestimate,Underestimate,Overestimate,1274.127311,763.4778979,591.2887634,1459.001848,934.8829715,-221.2060222,284.1445646,111.9554301,-1.664818594,1.216304858
